No.	Player	Pos	Ht	Wt	Birth Date	Birth Country	Exp	College
24	Mark Aguirre	SF	6-6	232	December 10, 1959	US	4	DePaul
33	Uwe Blab	C	7-1	252	March 26, 1962	DE	0	Indiana
22	Rolando Blackman	SG	6-6	190	February 26, 1959	PA	4	Kansas State
53	Wallace Bryant	C	7-0	245	July 14, 1959	ES	2	San Francisco
15	Brad Davis	PG	6-3	180	December 17, 1955	US	8	Maryland
40	James Donaldson	C	7-2	275	August 16, 1957	GB	5	Washington State
14	Dale Ellis	SF	6-7	205	August 6, 1960	US	2	Tennessee
12	Derek Harper	PG	6-4	185	October 13, 1961	US	2	Illinois
43	Harold Keeling	SG	6-4	185	September 18, 1963	US	0	Santa Clara University
40	Kurt Nimphius	PF	6-10	218	March 13, 1958	US	4	Arizona State
41	Sam Perkins	PF	6-9	235	June 14, 1961	US	1	UNC
32	Detlef Schrempf	SF	6-9	214	January 21, 1963	DE	0	Washington
31	Jay Vincent	PF	6-7	220	June 10, 1959	US	4	Michigan State
23	Bill Wennington	C	7-0	245	April 26, 1963	CA	0	St. John's
