	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19805	3631	7254	.501	141	446	.316	3490	6808	.513	2050	2643	.776	1059	2454	3513	2108	605	369	1289	1733	9453
Team/G		241.5	44.3	88.5	.501	1.7	5.4	.316	42.6	83.0	.513	25.0	32.2	.776	12.9	29.9	42.8	25.7	7.4	4.5	15.7	21.1	115.3
Lg Rank		8	7	10	5	1	1	6	11	20	4	5	8	7	21	8	15	14	22	17	1	1	2
Year/Year		-0.3%	2.0%	-0.4%	+.012	-7.2%	0.7%	-.027	2.4%	-0.4%	+.014	11.2%	13.7%	-.018	-3.3%	4.6%	2.1%	-2.0%	5.2%	10.1%	8.9%	-3.5%	3.7%
