	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19805	3864	7689	.503	90	311	.289	3774	7378	.512	1545	2049	.754	1219	2469	3688	2381	617	423	1279	2196	9363
Opponent/G		241.5	47.1	93.8	.503	1.1	3.8	.289	46.0	90.0	.512	18.8	25.0	.754	14.9	30.1	45.0	29.0	7.5	5.2	15.6	26.8	114.2
Lg Rank		8	23	23	20	20	20	13	21	23	21	1	2	8	20	15	16	22	1	9	22	20	21
Year/Year		-0.3%	6.6%	6.8%	-.001	-8.2%	-2.2%	-.019	7.0%	7.2%	-.001	-2.7%	-1.5%	-.009	14.8%	-0.0%	4.4%	12.7%	7.9%	-1.6%	-4.6%	6.3%	4.8%
