No.	Player	Pos	Ht	Wt	Birth Date	Birth Country	Exp	College
24	Mark Aguirre	SF	6-6	232	December 10, 1959	US	3	DePaul
22	Rolando Blackman	SG	6-6	190	February 26, 1959	PA	3	Kansas State
53	Wallace Bryant	C	7-0	245	July 14, 1959	ES	1	San Francisco
32	Howard Carter	SG	6-5	215	October 26, 1961	US	1	LSU
15	Brad Davis	PG	6-3	180	December 17, 1955	US	7	Maryland
14	Dale Ellis	SF	6-7	205	August 6, 1960	US	1	Tennessee
12	Derek Harper	PG	6-4	185	October 13, 1961	US	1	Illinois
40	Kurt Nimphius	C	6-10	218	March 13, 1958	US	3	Arizona State
41	Sam Perkins	PF	6-9	235	June 14, 1961	US	0	UNC
52	Charlie Sitton	SF	6-8	210	July 3, 1962	US	0	Oregon State
7	Tom Sluby	SG	6-4	200	February 18, 1962	US	0	Notre Dame
31	Jay Vincent	PF	6-7	220	June 10, 1959	US	3	Michigan State
