	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19855	3560	7280	.489	152	443	.343	3408	6837	.498	1844	2324	.793	1095	2345	3440	2152	575	335	1184	1796	9116
Team/G		242.1	43.4	88.8	.489	1.9	5.4	.343	41.6	83.4	.498	22.5	28.3	.793	13.4	28.6	42.0	26.2	7.0	4.1	14.4	21.9	111.2
Lg Rank		2	11	12	13	1	1	2	16	19	12	13	14	3	17	15	19	13	22	20	1	2	10
Year/Year		-0.5%	-1.6%	0.6%	-.011	261.9%	140.8%	+.115	-4.7%	-3.0%	-.009	3.9%	-1.1%	+.039	0.5%	3.5%	2.5%	-0.6%	-0.7%	-6.9%	-9.1%	-5.8%	0.7%
