	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19855	3626	7200	.504	98	318	.308	3528	6882	.513	1588	2080	.763	1062	2470	3532	2113	572	430	1340	2066	8938
Opponent/G		242.1	44.2	87.8	.504	1.2	3.9	.308	43.0	83.9	.513	19.4	25.4	.763	13.0	30.1	43.1	25.8	7.0	5.2	16.3	25.2	109.0
Lg Rank		2	13	8	20	23	23	18	12	5	20	2	2	11	1	17	12	9	1	12	20	13	7
Year/Year		-0.5%	-0.2%	-1.1%	+.005	55.6%	43.2%	+.024	-1.2%	-2.5%	+.007	-5.9%	-5.4%	-.005	-10.0%	5.3%	0.2%	-0.8%	-9.5%	3.1%	-3.3%	-6.6%	-0.9%
