	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19705	3002	6601	.455	483	1457	.332	2519	5144	.490	1362	1867	.730	927	2502	3429	1810	532	466	1285	1581	7849
Team/G		240.3	36.6	80.5	.455	5.9	17.8	.332	30.7	62.7	.490	16.6	22.8	.730	11.3	30.5	41.8	22.1	6.5	5.7	15.7	19.3	95.7
Lg Rank		29	25	22	20	19	14	27	20	19	19	28	26	26	13	17	14	9	23	3	28	2	27
Year/Year		-0.9%	1.6%	-1.4%	+.013	-9.7%	-3.7%	-.022	4.1%	-0.8%	+.023	0.6%	1.5%	-.007	4.2%	5.3%	5.0%	5.0%	-7.0%	-3.3%	5.2%	-4.2%	0.6%
