	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19705	3193	6792	.470	529	1457	.363	2664	5335	.499	1455	1910	.762	879	2490	3369	1926	686	363	1059	1588	8370
Opponent/G		240.3	38.9	82.8	.470	6.5	17.8	.363	32.5	65.1	.499	17.7	23.3	.762	10.7	30.4	41.1	23.5	8.4	4.4	12.9	19.4	102.1
Lg Rank		29	21	18	21	18	12	22	21	24	21	12	12	20	13	16	13	27	29	9	26	4	19
Year/Year		-0.9%	-0.8%	-0.2%	-.003	-1.3%	1.8%	-.012	-0.7%	-0.7%	+.000	-5.9%	-6.1%	+.002	-8.6%	-6.1%	-6.8%	-1.3%	5.2%	-12.3%	-3.1%	-1.3%	-1.7%
