	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19955	3618	7235	.500	42	184	.228	3576	7051	.507	1774	2350	.755	1090	2265	3355	2164	579	360	1303	1906	9052
Team/G		243.4	44.1	88.2	.500	0.5	2.2	.228	43.6	86.0	.507	21.6	28.7	.755	13.3	27.6	40.9	26.4	7.1	4.4	15.9	23.2	110.4
Lg Rank		3	9	10	5	15	13	15	9	9	7	15	17	12	18	19	21	12	21	18	1	2	11
Year/Year		1.1%	-1.5%	-4.2%	+.014	-2.3%	-0.5%	-.004	-1.5%	-4.3%	+.014	-4.2%	-4.5%	+.003	-15.9%	-4.9%	-8.8%	-2.8%	4.9%	3.4%	-3.3%	-7.8%	-2.1%
