	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19955	3633	7282	.499	63	222	.284	3570	7060	.506	1688	2198	.768	1180	2346	3526	2131	632	417	1386	2213	9017
Opponent/G		243.4	44.3	88.8	.499	0.8	2.7	.284	43.5	86.1	.506	20.6	26.8	.768	14.4	28.6	43.0	26.0	7.7	5.1	16.9	27.0	110.0
Lg Rank		3	16	14	17	21	21	21	16	14	17	3	3	19	13	10	14	13	4	9	18	20	13
Year/Year		1.1%	-3.3%	-2.7%	-.003	18.9%	9.9%	+.021	-3.6%	-3.0%	-.003	-1.2%	-6.3%	+.040	-3.0%	-3.6%	-3.4%	-7.0%	4.1%	-25.8%	0.2%	-0.6%	-2.8%
