	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19730	3390	7224	.469	55	190	.289	3335	7034	.474	1740	2366	.735	1213	2228	3441	2117	566	313	1317	2193	8575
Team/G		240.6	41.3	88.1	.469	0.7	2.3	.289	40.7	85.8	.474	21.2	28.9	.735	14.8	27.2	42.0	25.8	6.9	3.8	16.1	26.7	104.6
Lg Rank		23	20	12	21	7	9	6	20	12	21	10	9	16	7	21	18	8	23	22	2	13	19
Year/Year		-0.3%	5.8%	4.3%	+.007	19.6%	15.2%	+.011	5.6%	4.0%	+.007	-6.9%	-4.9%	-.016	9.4%	2.3%	4.7%	6.7%	0.9%	46.3%	-8.5%	9.2%	3.0%
