	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19730	3530	6953	.508	31	138	.225	3499	6815	.513	1847	2491	.741	1108	2361	3469	1984	643	509	1370	2243	8938
Opponent/G		240.6	43.0	84.8	.508	0.4	1.7	.225	42.7	83.1	.513	22.5	30.4	.741	13.5	28.8	42.3	24.2	7.8	6.2	16.7	27.4	109.0
Lg Rank		23	11	3	18	1	2	3	12	3	18	15	17	7	2	9	5	8	4	19	17	21	13
Year/Year		-0.3%	-2.5%	-1.5%	-.005	-13.9%	0.7%	-.038	-2.4%	-1.6%	-.005	6.7%	8.4%	-.012	-5.5%	-5.5%	-5.5%	-5.4%	-9.8%	6.0%	-4.4%	2.6%	-0.8%
