	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Opponent	82	19730	3758	7481	.502	53	202	.262	3705	7279	.509	1708	2347	.728	1217	2433	3650	2291	607	562	1383	2227	9277
Opponent/G		240.6	45.8	91.2	.502	0.6	2.5	.262	45.2	88.8	.509	20.8	28.6	.728	14.8	29.7	44.5	27.9	7.4	6.9	16.9	27.2	113.1
Lg Rank		18	18	16	18	19	18	18	18	16	19	12	14	7	13	14	13	20	1	21	22	17	18
Year/Year		0.0%	6.5%	7.6%	-.005	71.0%	46.4%	+.038	5.9%	6.8%	-.004	-7.5%	-5.8%	-.014	9.8%	3.0%	5.2%	15.5%	-5.6%	10.4%	0.9%	-0.7%	3.8%
