	G	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
Team	82	19730	3674	7550	.487	43	185	.232	3631	7365	.493	1852	2462	.752	1296	2381	3677	2227	552	348	1348	2067	9243
Team/G		240.6	44.8	92.1	.487	0.5	2.3	.232	44.3	89.8	.493	22.6	30.0	.752	15.8	29.0	44.8	27.2	6.7	4.2	16.4	25.2	112.7
Lg Rank		18	7	5	11	11	11	13	6	5	11	7	8	6	5	17	9	6	23	22	1	10	5
Year/Year		0.0%	8.4%	4.5%	+.017	-21.8%	-2.6%	-.057	8.9%	4.7%	+.019	6.4%	4.1%	+.017	6.8%	6.9%	6.9%	5.2%	-2.5%	11.2%	2.4%	-5.7%	7.8%
